Insurance_plan;CPM;P_term;Healthcare_cover;NC_reimbursement;Bundle_options;Dental_options;Physio_term;Mental_health_options;International_cover
United Customers: Conscious Choice;127.45;Monthly;Wide;60;Limited;No;No;No;Limited
United Customers: Conscious Choice;128;Monthly;Limited;61;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;130;Monthly;Wide;60;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;127;Monthly;Unlimited;59;Wide;No;Yes;No;Yes
United Customers: Conscious Choice;123;Monthly;Unlimited;61;Wide;No;No;No;Limited
United Customers: Conscious Choice;128;Monthly;Wide;64;Limited;No;No;No;Limited
United Customers: Conscious Choice;131;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;125;Monthly;Wide;60;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;58;Limited;No;No;No;Limited
United Customers: Conscious Choice;128;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;125;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;63;Limited;No;Yes;No;Yes
United Customers: Conscious Choice;127;Monthly;Unlimited;62;Wide;No;No;No;Limited
United Customers: Conscious Choice;125;Monthly;Wide;60;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;129;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;128;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;62;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;60;Limited;No;No;No;Limited
United Customers: Conscious Choice;123;Monthly;Wide;62;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;125;Monthly;Wide;58;Limited;No;No;No;Limited
United Customers: Conscious Choice;129;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;128;Monthly;Wide;58;Limited;No;No;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;56;Limited;No;No;No;Limited
United Customers: Conscious Choice;129;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;61;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;128;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;64;Limited;No;No;No;Limited
United Customers: Conscious Choice;131;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;129;Monthly;Wide;60;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;60;Limited;No;No;No;Limited
United Customers: Conscious Choice;131;Monthly;Wide;58;Limited;No;No;No;Limited
United Customers: Conscious Choice;128;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;63;Limited;No;Yes;No;Yes
United Customers: Conscious Choice;128;Yearly;Unlimited;62;Wide;No;No;No;Limited
United Customers: Conscious Choice;131;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;130;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;124;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;130;Monthly;Wide;62;Limited;No;No;No;Limited
United Customers: Conscious Choice;124;Monthly;Wide;59;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;129;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;125;Monthly;Wide;60;Limited;No;No;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;130;Monthly;Wide;63;Limited;No;No;No;Limited
United Customers: Conscious Choice;131;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;132;Monthly;Wide;57;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;63;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;59;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;130;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;60;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;60;Limited;No;No;No;Limited
United Customers: Conscious Choice;123;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;125;Monthly;Limited;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;63;Limited;No;No;No;Limited
United Customers: Conscious Choice;128;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;125;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;128;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;62;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;128;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;59;Limited;No;No;No;Limited
United Customers: Conscious Choice;127;Monthly;Wide;59;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;57;Limited;No;No;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;62;Limited;No;No;No;Limited
United Customers: Conscious Choice;128;Monthly;Wide;60;Limited;No;No;No;Limited
United Customers: Conscious Choice;124;Monthly;Wide;62;Limited;No;No;No;Limited
United Customers: Conscious Choice;129;Monthly;Wide;61;Limited;No;No;No;Limited
United Customers: Conscious Choice;128;Monthly;Wide;58;Limited;No;No;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;62;Limited;No;Yes;No;Limited
United Customers: Conscious Choice;126;Monthly;Wide;60;Limited;No;No;No;Limited
